Unnamed: 0,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
134,Mark & Robyn Jones Descendants Trust 2014,"Member of 10% owner group, 10%",S - Sale+OE,GSHD,$101.88,"-20,944","-$2,133,843","10,771,983",0%,2021-05-05 17:49:24,2021-05-04
135,Martz Gary R,"EVP, GC",S - Sale,GEF,$61.55,-514,"-$31,660","71,963",-1%,2021-05-05 17:48:42,2021-05-03
136,Martin Timothy J,EVP - Global Solutions,S - Sale,TRU,$105.36,"-5,000","-$526,800","25,490",-16%,2021-05-05 17:48:31,2021-05-03
137,Jagdfeld Aaron,CEO,S - Sale,GNRC,$323.97,"-5,000","-$1,619,839","640,913",-1%,2021-05-05 17:46:46,2021-05-03
138,Harris Brian,CEO,S - Sale,LADR,$11.98,"-4,223","-$50,595","6,823,553",0%,2021-05-05 17:46:36,2021-05-03
139,Taylor Joseph G,"EVP, CFO",S - Sale+OE,EAT,$65.91,"-6,487","-$427,558","30,807",-17%,2021-05-05 17:43:28,2021-05-04
140,Porcella Kelly Amanda,"Chief Admin Off, GC",S - Sale,LADR,$11.96,"-3,000","-$35,880","122,798",-2%,2021-05-05 17:42:32,2021-05-03
141,Bergman Artur,"Chief Architect, Exec. Chair, 10%",S - Sale+OE,FSLY,$62.03,"-14,423","-$894,716","335,319",-4%,2021-05-05 17:42:07,2021-05-03
142,Martin Paul E,CFO,S - Sale,PRFT,$66.48,"-10,000","-$664,846","144,147",-6%,2021-05-05 17:41:27,2021-05-03
143,Thomson Laurie R,"VP, Controller",S - Sale+OE,GWW,$459.46,"-1,994","-$916,157","2,052",-49%,2021-05-05 17:38:30,2021-05-05
144,Sayer Kevin R,"COB, CEO, Pres",S - Sale,DXCM,$379.88,"-5,535","-$2,102,626","105,722",-5%,2021-05-05 17:35:37,2021-05-03
145,Bingham H Raymond,Dir,S - Sale,TNET,$79.88,"-5,000","-$399,406","105,329",-5%,2021-05-05 17:33:24,2021-05-03
146,Gathright Kristian M,Dir,S - Sale,APLE,$16.00,"-10,576","-$169,240","1,026,537",-1%,2021-05-05 17:33:11,2021-05-03
147,Nickles Robert Clark Jr,Dir,P - Purchase,FFIN,$49.54,+167,"+$8,273","67,542",0%,2021-05-05 17:29:48,2021-05-04
148,Polk Dennis,Dir,S - Sale+OE,CNXC,$156.30,"-5,000","-$781,497","40,084",-11%,2021-05-05 17:28:18,2021-05-03
149,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,POOL,$428.20,"-17,106","-$7,324,800","915,734",-2%,2021-05-05 17:26:10,2021-05-03
150,Ax Peter L,Dir,S - Sale,MTH,$108.17,"-5,500","-$594,935","35,841",-13%,2021-05-05 17:25:01,2021-05-04
151,Gustavson Timothy B.,"SVP, CHIEF ACCOUNTING OFFICER",S - Sale,RLGY,$17.39,"-12,000","-$208,680","19,818",-38%,2021-05-05 17:24:43,2021-05-03
152,Yankee Colin,EVP Supply Chain,S - Sale,TSCO,$189.94,"-3,586","-$681,132","9,590",-27%,2021-05-05 17:24:35,2021-05-03
153,Doluca Tunc,"Pres, CEO, Dir",S - Sale,MXIM,$93.96,"-10,550","-$991,325","262,357",-4%,2021-05-05 17:22:36,2021-05-03
154,Knowles Julius,Dir,S - Sale,KROS,$57.27,"-47,651","-$2,728,849","383,205",-11%,2021-05-05 17:22:19,2021-05-03
155,Canaan VIII LP,10%,S - Sale,LOV,$7.16,"-24,000","-$171,930","2,996,375",-1%,2021-05-05 17:21:34,2021-05-04
156,Valenzuela Steve,CFO,S - Sale+OE,ALRM,$90.82,"-1,292","-$117,339","28,594",-4%,2021-05-05 17:21:25,2021-05-03
157,Shinn Bryan Adair,CEO,P - Purchase,SLCA,$9.20,"+2,000","+$18,398","841,987",0%,2021-05-05 17:21:16,2021-05-04
158,Miller Steven G,"COB, Pres, CEO",S - Sale,BGFV,$19.48,"-25,000","-$486,900","761,469",-3%,2021-05-05 17:20:43,2021-05-03
159,Ellis William Don,Dir,S - Sale,VBTX,$34.63,"-25,000","-$865,655","173,447",-13%,2021-05-05 17:18:34,2021-05-04
160,Cafaro Debra A,"COB, CEO",S - Sale+OE,VTR,$55.65,"-18,076","-$1,005,937","873,809",-2%,2021-05-05 17:16:19,2021-05-03
161,Saxonov Serge,"CEO, 10%",S - Sale+OE,TXG,$184.08,"-15,000","-$2,761,127","880,468",-2%,2021-05-05 17:15:47,2021-05-04
162,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,AMZN,"$3,351.03","-51,196","-$171,559,456","52,470,237",0%,2021-05-05 17:14:42,2021-05-04
163,Stuelpnagel John R,Dir,S - Sale,TXG,$191.81,"-7,500","-$1,438,551","420,991",-2%,2021-05-05 17:14:17,2021-05-03
164,Control Empresarial De Capitales S.A. De C.V.,"Add'l Rep. Persons-see Ex.99-1, 10%",P - Purchase,PBFX,$15.35,"+41,185","+$632,186","7,274,043",+1%,2021-05-05 17:13:56,2021-05-03
165,McAnear Justin J.,CFO,S - Sale+OE,TXG,$191.93,"-10,000","-$1,919,311","30,357",-25%,2021-05-05 17:13:09,2021-05-03
166,Johnson Eric Alan,Dir,P - Purchase,FRST,$14.59,"+1,360","+$19,842","30,756",+5%,2021-05-05 17:12:52,2021-05-04
167,Hindson Benjamin J.,"See Remarks, 10%",S - Sale+OE,TXG,$191.84,"-41,666","-$7,993,007","36,636",-53%,2021-05-05 17:10:44,2021-05-03
168,James J. Cotter Living Trust,"Member of Sec.13(d)(3) Group, 10%",S - Sale,RDI,$5.93,"-12,000","-$71,112","1,500,649",-1%,2021-05-05 17:10:22,2021-05-03
169,Rady Ernest S,"COB, CEO, Pres, 10%",P - Purchase,AAT,$34.64,"+59,947","+$2,076,752","10,488,593",+1%,2021-05-05 17:10:01,2021-05-03
170,Spence Patrick,CEO,S - Sale+OE,SONO,$40.20,"-27,023","-$1,086,395","218,641",-11%,2021-05-05 17:09:38,2021-05-03
171,Cotter Margaret,"Chairperson, EVP - RE Dev, NY, 10%",S - Sale,RDI,$5.93,"-12,000","-$71,112","2,345,481",-1%,2021-05-05 17:09:25,2021-05-03
172,Dorsey Jack,"Pres, CEO, COB, 10%",S - Sale+OE,SQ,$245.60,"-100,000","-$24,559,654",0,-100%,2021-05-05 17:08:54,2021-05-03
173,Norwitt Richard Adam,"Pres, CEO",S - Sale+OE,APH,$66.48,"-1,150,000","-$76,448,585","1,000,326",-53%,2021-05-05 17:08:38,2021-05-03
174,Cotter Ellen M,"Dir, Pres, CEO, 10%",S - Sale,RDI,$5.93,"-12,000","-$71,112","2,291,314",-1%,2021-05-05 17:08:17,2021-05-03
175,Ullman Anders,Dir,S - Sale,VRNA,$0.84,"-12,056","-$10,123","334,856",-3%,2021-05-05 17:07:53,2021-05-04
176,Short Michael John,"Pres, Global Forwarding",S - Sale+OE,CHRW,$99.29,"-17,504","-$1,737,892","24,695",-41%,2021-05-05 17:07:44,2021-05-03
177,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,AMZN,"$3,323.40","-108,430","-$360,356,083","52,521,433",0%,2021-05-05 17:07:29,2021-05-04
178,Deschamps Lisa,Dir,S - Sale,VRNA,$0.84,"-10,680","-$8,968","105,320",-9%,2021-05-05 17:07:21,2021-05-04
179,Cunningham Kenneth,Dir,S - Sale,VRNA,$0.84,"-13,112","-$11,010","66,584",-16%,2021-05-05 17:06:45,2021-05-04
180,Sinha Vikas,Dir,S - Sale,VRNA,$0.84,"-10,016","-$8,410","74,440",-12%,2021-05-05 17:05:53,2021-05-04
181,Fowden Jeremy S G,Dir,S - Sale+OE,PRMW,$17.00,"-11,844","-$201,348","1,352,198",-1%,2021-05-05 17:05:33,2021-05-03
182,Rhodes Blake,"SVP, Strategic Development",S - Sale,NEM,$63.48,-500,"-$31,740","54,311",-1%,2021-05-05 17:05:25,2021-05-03
183,Ebsworth David R,Dir,S - Sale,VRNA,$0.84,"-11,184","-$9,391","684,643",-2%,2021-05-05 17:04:50,2021-05-04
184,Edwards Martin,Dir,S - Sale,VRNA,$0.84,"-12,024","-$10,097","111,064",-10%,2021-05-05 17:04:23,2021-05-04
185,Poulton Richard J.,"Pres, CFO",S - Sale,MDRX,$15.69,"-75,000","-$1,176,638","607,980",-11%,2021-05-05 17:04:18,2021-05-04
186,Kitlen John,"VP, Controller, CAO",S - Sale,NEM,$63.48,"-2,000","-$126,960","30,391",-6%,2021-05-05 17:04:06,2021-05-03
187,Wells Jay,CFO,S - Sale+OE,PRMW,$17.00,"-10,700","-$181,900","210,451",-5%,2021-05-05 17:04:00,2021-05-03
188,Lokey James W,Dir,P - Purchase,CWBC,$12.45,+400,"+$4,981","11,054",+4%,2021-05-05 17:03:56,2021-05-05
189,Shah Mahendra,Dir,S - Sale,VRNA,$0.84,"-10,680","-$8,968","73,080",-13%,2021-05-05 17:03:35,2021-05-04
190,Azad Babak,See Remarks,S - Sale+OE,GDRX,$39.12,"-70,833","-$2,771,054",0,-100%,2021-05-05 17:03:13,2021-05-03
191,Henderson Cal,CTO,S - Sale+OE,WORK,$42.07,"-5,637","-$237,149","125,392",-4%,2021-05-05 17:03:11,2021-05-03
192,Palmer Thomas Ronald,"Pres, CEO",S - Sale,NEM,$63.48,"-5,150","-$326,922","276,675",-2%,2021-05-05 17:03:06,2021-05-03
193,Cynkus Harry J,Dir,P - Purchase,RES,$5.13,"+2,000","+$10,260","12,010",+20%,2021-05-05 17:02:42,2021-05-03
194,Zell Brandon,Chief Accounting Officer,S - Sale+OE,WORK,$42.07,"-3,999","-$168,238","189,642",-2%,2021-05-05 17:02:39,2021-05-03
195,Schellhase David,"GC, Secretary",S - Sale+OE,WORK,$42.07,"-3,333","-$140,219","326,875",-1%,2021-05-05 17:02:18,2021-05-03
196,Atkinson Robert D,"EVP, COO",S - Sale,NEM,$63.48,"-2,024","-$128,484","92,588",-2%,2021-05-05 17:02:07,2021-05-03
197,Mercier Johanna,Chief Commercial Officer,S - Sale,GILD,$66.09,"-19,496","-$1,288,547","8,068",-71%,2021-05-05 17:02:06,2021-05-04
198,Shim Allen,CFO,S - Sale+OE,WORK,$42.07,"-28,321","-$1,191,464","1,960,568",-1%,2021-05-05 17:01:48,2021-05-03
199,Miller Richard A Md,"Pres, CEO",P - Purchase,CRVS,$2.80,"+35,714","+$99,999","1,314,229",+3%,2021-05-05 17:01:24,2021-05-04
200,Frati Robert,"SVP Sales, Customer Success",S - Sale+OE,WORK,$42.07,"-12,398","-$521,584","314,209",-4%,2021-05-05 17:01:20,2021-05-03
201,Casamento Charles J,Dir,S - Sale,RLMD,$38.22,"-3,000","-$114,647","9,950",-23%,2021-05-05 17:00:31,2021-05-03
202,Portnoy David,"COB, Co-CEO",P - Purchase,CCEL,$8.47,"+1,374","+$11,633","1,233,899",0%,2021-05-05 17:00:24,2021-05-03
203,Smith Howard W III,Pres,S - Sale+OE,WD,$112.64,"-8,012","-$902,440","484,339",-2%,2021-05-05 17:00:17,2021-05-03
204,Taylor Bernadette M,Sr EVP,S - Sale+OE,FULT,$17.05,"-2,348","-$40,034","29,298",-7%,2021-05-05 16:58:56,2021-05-01
205,Stolzer Daniel R,"Sr EVP, GC",S - Sale+OE,FULT,$17.08,-0,-$8,"13,333",0%,2021-05-05 16:58:41,2021-05-03
206,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,AMZN,"$3,291.63","-207,890","-$684,296,645","52,629,863",0%,2021-05-05 16:58:39,2021-05-04
207,Snyder Angela M,Sr EVP,S - Sale+OE,FULT,$17.05,"-4,463","-$76,087","28,656",-13%,2021-05-05 16:58:21,2021-05-01
208,Myers Curtis J,"COO, Pres",S - Sale+OE,FULT,$17.27,"-15,189","-$262,306","114,447",-12%,2021-05-05 16:57:47,2021-05-03
209,Campbell David M,Sr EVP,S - Sale+OE,FULT,$17.12,"-4,842","-$82,902","11,902",-29%,2021-05-05 16:56:30,2021-05-04
210,Elliott R Sean,"VP, GC",S - Sale,LBRT,$13.00,"-6,000","-$78,000","171,296",-3%,2021-05-05 16:56:07,2021-05-05
211,Clemente Rodney,"SVP, Water",S - Sale+OE,ERII,$21.11,"-4,814","-$101,642","42,234",-10%,2021-05-05 16:55:20,2021-05-03
212,Ribar Geoffrey G,Dir,S - Sale,MTSI,$57.08,"-5,414","-$309,031","21,708",-20%,2021-05-05 16:54:43,2021-05-03
213,Harvey Keith,"Pres, CEO",S - Sale,KALU,$120.00,"-1,000","-$120,000","65,886",-1%,2021-05-05 16:54:14,2021-05-03
214,Watson Michael J.,SVP-Chief Customer Officer,S - Sale+OE,WM,$140.55,"-4,430","-$622,635","19,842",-18%,2021-05-05 16:53:24,2021-05-04
215,Marr Christopher P,CEO,S - Sale+OE,CUBE,$42.37,"-6,769","-$286,809","556,314",-1%,2021-05-05 16:53:18,2021-05-03
216,Lauder Ronald S,"COB, Clinique Labs LLC, 10%",S - Sale+OE,EL,$292.00,"-1,700,000","-$496,400,000","6,364",-100%,2021-05-05 16:53:06,2021-05-05
217,Foster Jeffrey P,"CLO, Secretary",S - Sale+OE,CUBE,$41.86,"-56,233","-$2,353,815","143,475",-28%,2021-05-05 16:53:00,2021-05-03
218,Link Janet,"SVP, GC, Sec'y",S - Sale+OE,SWK,$209.03,"-7,446","-$1,556,458","22,015",-25%,2021-05-05 16:52:09,2021-05-03
219,Morris Scott James,"Pres, COO",S - Sale,FRPT,$184.22,"-1,997","-$367,883","150,333",-1%,2021-05-05 16:51:27,2021-05-03
220,Friedman Gavin,"EVP, People, Legal",S - Sale,TRUP,$81.50,-400,"-$32,600",541,-43%,2021-05-05 16:51:13,2021-05-03
221,Kenney Gerald P,"SVP, Gen. Counsel, Secretary",S - Sale,UIS,$23.79,"-10,000","-$237,936","80,843",-11%,2021-05-05 16:50:38,2021-05-04
222,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,AMZN,"$3,456.57","-111,945","-$386,945,486","52,837,753",0%,2021-05-05 16:49:19,2021-05-03
223,Conroy Kevin T,"Pres, CEO",S - Sale,EXAS,$131.09,"-19,240","-$2,522,172","849,150",-2%,2021-05-05 16:49:05,2021-05-03
224,Syal Rajeev,SEVP,S - Sale,HBAN,$15.50,"-27,674","-$428,947","285,009",-9%,2021-05-05 16:47:09,2021-05-03
225,Daiss Ann P,Comptroller,S - Sale,SO,$66.05,"-4,425","-$292,271","19,136",-19%,2021-05-05 16:47:02,2021-05-04
226,Wu Xiaobin,"Pres, COO, GM China",S - Sale,BGNE,$343.00,"-6,715","-$2,303,245","1,211,296",-1%,2021-05-05 16:46:49,2021-05-03
227,Whitmore Justin,Chief Strategy Officer,P - Purchase,KDP,$36.18,"+3,289","+$118,996","72,284",+5%,2021-05-05 16:46:44,2021-05-03
228,Anevski Peter,"Pres, COO",S - Sale,PGNY,$55.19,"-42,000","-$2,318,054","625,079",-6%,2021-05-05 16:46:24,2021-05-03
229,Jasinski Lawrence J,CEO,S - Sale,RWLK,$1.90,-148,-$281,"308,066",0%,2021-05-05 16:46:10,2021-05-04
230,Obenshain Andrew,Pres of SGD,S - Sale,BLUE,$30.15,-29,-$874,"40,108",0%,2021-05-05 16:46:04,2021-05-03
231,Pohle Richard A,EVP,S - Sale+OE,HBAN,$15.37,"-7,881","-$121,108","81,117",-9%,2021-05-05 16:45:50,2021-05-03
232,Wehrle Gaines,"Former Director, 10%",S - Sale,PNRG,$43.36,"-3,000","-$130,089","209,502",-1%,2021-05-05 16:45:39,2021-05-03
233,Sexton John P,"EVP, GC, Corp Sec",S - Sale,CBOE,$107.19,"-1,996","-$213,954","17,129",-10%,2021-05-05 16:45:25,2021-05-03
234,Gregory Philip D,Chief Scientific Officer,S - Sale,BLUE,$30.15,-39,"-$1,176","46,829",0%,2021-05-05 16:45:20,2021-05-03
235,Czaja Mark T,"VP-Chief Technology, Innov.",S - Sale,PH,$310.82,-653,"-$202,964","1,921",-25%,2021-05-05 16:45:16,2021-05-03
236,Armour Spencer D III,Dir,S - Sale+OE,PUMP,$10.43,"-32,931","-$343,470","54,515",-38%,2021-05-05 16:44:51,2021-05-04
237,Nougues Maximo F,CFO,S - Sale,PBYI,$9.91,-152,"-$1,506","68,370",0%,2021-05-05 16:44:38,2021-05-03
238,Leschly Nick,"Pres, CEO",S - Sale,BLUE,$30.15,-444,"-$13,387","475,391",0%,2021-05-05 16:44:15,2021-05-03
239,Broz Steven,CIO,S - Sale,PGR,$102.31,"-1,245","-$127,376","31,319",-4%,2021-05-05 16:44:01,2021-05-04
240,Cole Jason,COO and,S - Sale,BLUE,$30.15,-38,"-$1,146","47,922",0%,2021-05-05 16:43:41,2021-05-03
241,Namkung James W,Chief Accounting Officer,S - Sale,ICE,$117.77,"-1,977","-$232,831","19,120",-9%,2021-05-05 16:43:01,2021-05-03
242,Stillwell Kenneth,"COO, CFO",S - Sale+OE,PEGA,$124.61,"-5,582","-$695,559","8,185",-41%,2021-05-05 16:42:31,2021-05-03
243,Miller Jeffrey George,CEO,S - Sale,SNCR,$3.28,"-2,288","-$7,505","296,592",-1%,2021-05-05 16:41:06,2021-05-03
244,Eastham Karin,Dir,S - Sale,VCYT,$48.27,"-4,427","-$213,700","8,800",-33%,2021-05-05 16:41:00,2021-05-03
245,Singh Jesse G,"CEO, Pres",S - Sale,AZEK,$49.27,"-55,000","-$2,709,850","2,256,090",-2%,2021-05-05 16:40:56,2021-05-03
246,Lee Kevin,CEO,S - Sale+OE,BCYC,$32.13,"-4,288","-$137,785","254,734",-2%,2021-05-05 16:40:55,2021-05-03
247,Guthart Gary S,"Pres, CEO",S - Sale+OE,ISRG,$851.99,"-10,617","-$9,045,591","393,518",-3%,2021-05-05 16:40:54,2021-05-04
248,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,AMZN,"$3,418.82","-98,673","-$337,345,133","52,949,698",0%,2021-05-05 16:40:42,2021-05-03
249,Frey Bridget,CTO,S - Sale+OE,RDFN,$67.03,"-14,000","-$938,391","125,695",-10%,2021-05-05 16:39:33,2021-05-04
250,Llewelyn Linda,Chief People Officer,S - Sale+OE,HCAT,$58.10,"-3,455","-$200,743","40,824",-8%,2021-05-05 16:39:18,2021-05-03
251,Hunt Douglas M,See Remarks,S - Sale,PBYI,$9.91,-417,"-$4,133","68,375",-1%,2021-05-05 16:39:14,2021-05-03
252,Nielsen Christopher John,CFO,S - Sale+OE,RDFN,$66.23,"-4,500","-$298,035","19,737",-19%,2021-05-05 16:38:52,2021-05-05
253,Savory Nigel K,MD Europe,S - Sale,EPAY,$48.28,"-1,421","-$68,599","129,090",-1%,2021-05-05 16:37:43,2021-05-03
254,Del Preto Joseph,"CFO, Treasurer",S - Sale,SPT,$61.08,"-2,708","-$165,405","141,355",-2%,2021-05-05 16:36:22,2021-05-04
255,Morton Erin Thomas,"Pres, GC",S - Sale,SWCH,$18.24,"-100,000","-$1,823,840","4,428,794",-2%,2021-05-05 16:34:47,2021-05-03
256,Eastham Karin,Dir,S - Sale+OE,VCYT,$60.70,"-6,250","-$379,359","13,227",-32%,2021-05-05 16:34:45,2021-02-25
257,Amin Tarang,CEO,S - Sale,ELF,$29.80,"-67,166","-$2,001,558","890,756",-7%,2021-05-05 16:34:39,2021-05-03
258,Auerbach Alan H,"Pres, CEO, 10%",S - Sale,PBYI,$9.01,"-1,758","-$15,847","4,428,407",0%,2021-05-05 16:34:08,2021-05-03
259,Hutchison Thomas J III,Dir,S - Sale,HT,$11.84,"-10,000","-$118,400","98,842",-9%,2021-05-05 16:33:35,2021-05-03
260,Ehst Richard A,"Pres, COO",S - Sale,CUBI,$35.28,"-10,000","-$352,762","140,608",-7%,2021-05-05 16:31:58,2021-05-05
261,Kelly John Francis,"GM, Legal Solutions",S - Sale,EPAY,$48.28,-321,"-$15,496","55,411",-1%,2021-05-05 16:31:38,2021-05-03
262,Roberts Christopher D.,Chief Scientific Officer,S - Sale+OE,BDTX,$26.64,"-2,500","-$66,602","3,200",-44%,2021-05-05 16:31:37,2021-05-03
263,Thompson Kimberly Kraig,"CEO, CFO, 10%",S - Sale,KBLB,$0.00,"-60,000",-$0,"204,612,302",0%,2021-05-05 16:30:30,2021-05-04
264,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,AMZN,"$3,390.04","-160,898","-$545,450,065","53,048,371",0%,2021-05-05 16:30:28,2021-05-03
265,Winemaster Gary S,10%,S - Sale,PSIX,$7.00,-200,"-$1,400","3,473,712",0%,2021-05-05 16:30:17,2021-04-29
266,Kokas Adam Richard,"EVP, GC, Secty.",S - Sale,AAWW,$70.07,"-8,538","-$598,249","32,302",-21%,2021-05-05 16:28:51,2021-05-03
267,McInerney Ryan,Pres,S - Sale+OE,V,$234.05,"-11,193","-$2,619,722","139,715",-7%,2021-05-05 16:28:23,2021-05-03
268,Bunker Kevin D.,COO,S - Sale,ZNTL,$59.24,"-8,420","-$498,784","1,061,753",-1%,2021-05-05 16:28:13,2021-05-03
269,Weber David M,COO,S - Sale+OE,ABMD,$309.20,"-13,000","-$4,019,635","140,429",-8%,2021-05-05 16:28:02,2021-05-03
270,Sun Anthony Y,"Pres, CEO",S - Sale,ZNTL,$59.32,"-26,794","-$1,589,506","2,863,919",-1%,2021-05-05 16:27:52,2021-05-03
271,Lopez Miguel A,"EVP, CFO",P - Purchase,RBBN,$6.56,"+1,000","+$6,563","23,500",+4%,2021-05-05 16:27:35,2021-05-03
272,"Epperly Melissa B,",CFO,S - Sale,ZNTL,$59.24,"-3,083","-$182,635","263,240",-1%,2021-05-05 16:27:34,2021-05-03
273,Olszewski Daniel P.,Dir,P - Purchase,FBIZ,$27.25,+220,"+$5,995","22,190",+1%,2021-05-05 16:27:28,2021-05-04
274,Gallagher Cam,Dir,S - Sale,ZNTL,$59.25,"-10,000","-$592,504","525,573",-2%,2021-05-05 16:27:09,2021-05-03
275,Jackson Michael J,"CEO, Dir",S - Sale,AN,$103.77,"-50,000","-$5,188,555","159,243",-24%,2021-05-05 16:27:08,2021-05-03
276,Nemeth Terezia C,EVP - Regional Market Dir,S - Sale,ARE,$180.03,"-1,000","-$180,030","23,281",-4%,2021-05-05 16:24:50,2021-05-03
277,Hanna Mark Christopher,President & CEO,P - Purchase,FMBM,$28.65,+35,"+$1,000","9,752",0%,2021-05-05 16:24:35,2021-05-05
278,Sanders Carol P,Dir,P - Purchase,FBIZ,$27.25,+250,"+$6,813","6,739",+4%,2021-05-05 16:24:19,2021-05-04
279,Santos Edwin J,Dir,S - Sale,WASH,$51.88,"-1,120","-$58,102","4,970",-18%,2021-05-05 16:24:15,2021-05-03
280,Huntley Cindy M,EVP Chief Banking Officer,S - Sale,HFWA,$28.63,"-1,148","-$32,867","19,962",-5%,2021-05-05 16:24:11,2021-05-04
281,Strom Carrie C,"SVP, Pres Global Allerg Aesth",S - Sale+OE,ABBV,$112.40,"-4,184","-$470,282","59,225",-7%,2021-05-05 16:23:37,2021-05-03
282,Zhang John Z,"SVP, GM, Display",S - Sale+OE,GLW,$44.61,"-19,413","-$866,107","1,862",-91%,2021-05-05 16:22:33,2021-05-03
283,Creek Phillip G,"Ex. VP, CFO",S - Sale+OE,MHO,$71.03,"-8,184","-$581,289","6,513",-56%,2021-05-05 16:22:31,2021-05-04
284,Moeller Jon R,"Vice COB, COO",S - Sale+OE,PG,$134.61,"-155,126","-$20,882,124","167,532",-48%,2021-05-05 16:22:14,2021-05-03
285,Marcus Joel S,Exec COB,S - Sale,ARE,$180.35,"-20,000","-$3,607,000","334,597",-6%,2021-05-05 16:22:10,2021-05-03
286,O'Hare Michael,EVP-Global HR,S - Sale,EL,$294.60,"-2,183","-$643,100",0,-100%,2021-05-05 16:21:34,2021-05-04
287,Peterffy Thomas,COB,S - Sale,IBKR,$70.42,"-40,000","-$2,816,903","7,827,511",-1%,2021-05-05 16:21:31,2021-05-03
288,Schlesinger Edward A,"SVP, Controller",S - Sale+OE,GLW,$44.94,"-9,241","-$415,246","47,893",-16%,2021-05-05 16:21:29,2021-05-03
289,Deluca Norman J,MD of Banking Solutions,S - Sale,EPAY,$48.28,-573,"-$27,662","76,892",-1%,2021-05-05 16:21:23,2021-05-03
290,Myers Ronald J,EVP - HR,S - Sale+OE,TKR,$85.78,"-6,283","-$538,956","25,561",-20%,2021-05-05 16:21:13,2021-05-03
291,Demsey John,Group Pres,S - Sale,EL,$296.02,"-1,000","-$296,020","10,019",-9%,2021-05-05 16:20:50,2021-05-04
292,Kyle Richard G,"Pres, CEO",S - Sale+OE,TKR,$85.14,"-36,975","-$3,148,052","296,388",-11%,2021-05-05 16:20:45,2021-05-03
293,Zimmer Elliot S,"EVP, Pres, COO Commercial",S - Sale,LII,$342.21,-596,"-$203,956","1,792",-25%,2021-05-05 16:20:37,2021-05-04
294,"Ccmp Capital, LP",10%,S - Sale,PQG,$13.44,"-1,224,602","-$16,458,651","52,574,155",-2%,2021-05-05 16:20:20,2021-05-05
295,Musser Eric S,"Pres, COO",S - Sale+OE,GLW,$45.00,"-35,381","-$1,592,145","82,162",-30%,2021-05-05 16:20:14,2021-05-03
296,Grafmyre Richard A,CEO,P - Purchase,PWOD,$23.36,"+1,500","+$35,044","9,493",+19%,2021-05-05 16:20:04,2021-05-05
297,Mosley William D,CEO,S - Sale+OE,STX,$92.49,"-77,754","-$7,191,669","492,410",-14%,2021-05-05 16:19:40,2021-05-03
298,Bergman Rick,"EVP, Computing, Graphics",S - Sale,AMD,$81.97,"-2,000","-$163,940","69,891",-3%,2021-05-05 16:19:39,2021-05-03
299,Paglia Regina M.,CHRO,S - Sale+OE,DRNA,$30.28,"-4,431","-$134,192",0,-100%,2021-05-05 16:19:37,2021-05-03
300,Ineos Ltd,10%,S - Sale,PQG,$13.44,"-650,398","-$8,741,349","27,922,674",-2%,2021-05-05 16:19:27,2021-05-05
301,Morse David L,"EVP, Chief Tech. Officer",S - Sale+OE,GLW,$45.00,"-45,424","-$2,044,080","55,810",-45%,2021-05-05 16:19:14,2021-05-03
302,Dobak John,CEO,S - Sale,DMTK,$40.96,"-25,000","-$1,023,930","490,116",-5%,2021-05-05 16:19:06,2021-05-03
303,Boal Steven R.,"CEO, COB",S - Sale,QUOT,$16.63,"-5,000","-$83,150","4,579,896",0%,2021-05-05 16:19:03,2021-05-03
304,Creek Phillip G,"Ex. VP, CFO",S - Sale+OE,MHO,$71.02,"-13,816","-$981,209","6,513",-68%,2021-05-05 16:19:02,2021-05-03
305,Sapan Joshua W,"Pres, CEO",S - Sale,AMCX,$48.57,"-40,000","-$1,942,986","682,865",-6%,2021-05-05 16:18:36,2021-05-03
306,Shah Jai,Group Pres,S - Sale,MAS,$65.00,"-30,562","-$1,986,530","32,984",-48%,2021-05-05 16:18:35,2021-05-03
307,Knepp Brian L,Pres,P - Purchase,PWOD,$23.32,"+1,030","+$24,018","9,412",+12%,2021-05-05 16:18:27,2021-05-05
308,Roth Michael Isor,Exec COB,S - Sale,IPG,$32.49,"-100,000","-$3,249,000","1,015,304",-9%,2021-05-05 16:18:21,2021-05-04
309,Cole Kenneth G.,"VP, GC, Sec.",S - Sale+OE,MAS,$65.11,"-32,094","-$2,089,731","57,775",-36%,2021-05-05 16:18:20,2021-05-03
310,Morse David L,"EVP, Chief Tech. Officer",S - Sale,GLW,$45.00,"-10,556","-$475,052","55,810",-16%,2021-05-05 16:18:11,2021-04-29
311,Peed Daniel,"CEO, 10%",S - Sale,UIHC,$16.07,"-3,900","-$62,673","17,322,436",0%,2021-05-05 16:17:58,2019-01-22
312,Raskin Scott David,Pres,S - Sale,QUOT,$16.59,"-5,000","-$82,950","740,552",-1%,2021-05-05 16:17:50,2021-05-03
